landmark_id,x,y
565,18.415815,19.40781
566,-0.28002766,15.723632
567,20.39599,-0.66707075
568,19.029623,0.25931895
569,16.514019,20.037365
570,19.595137,19.201225
571,11.454589,17.204891
572,15.005656,4.139638
573,5.9152536,7.3122416
574,3.092482,4.4970126
575,19.79989,19.72406
576,3.5161362,2.9614186
577,11.908033,8.452106
578,7.7277884,7.674478
579,19.348001,18.649279
580,14.250586,4.593284
581,4.2019343,10.177616
582,14.372099,10.866542
583,21.129381,13.716789
584,-0.09518747,14.246464
585,8.278228,16.24703
586,0.851389,3.6116588
587,4.227941,6.679455
588,11.866996,5.0641146
589,0.97076243,4.181789
590,12.497167,15.250868
591,3.936506,7.8793244
592,6.5255933,7.0131397
593,13.135079,4.1547227
594,11.945692,3.8217816
595,4.824008,6.2150993
596,4.697503,8.926321
597,13.072535,12.309082
598,16.311365,3.9956262
599,11.987576,7.6800404
600,12.316233,9.506186
601,-0.14987491,20.005919
602,15.917706,-0.35682487
603,10.22004,7.3874564
604,11.816098,16.658228
605,12.077125,10.46828
606,19.831753,18.860054
607,11.210942,8.836036
608,-0.8664784,2.7911012
609,4.935216,3.9621754
610,1.9011002,19.408535
611,8.777985,15.094567
612,15.917406,0.47574154
613,4.0196276,2.3496902
614,-0.4513177,4.3653374
615,11.993962,12.992443
616,4.4049287,3.9387088
617,19.37011,11.961628
618,11.261847,12.46901
619,-0.7887876,1.5005453
620,18.14296,12.424932
621,14.193946,12.537298
622,10.800653,7.5563736
623,16.164898,4.6468444
624,15.266582,12.396249
625,19.84447,-0.11252027
626,13.933034,11.219799
627,8.715799,18.231682
628,17.025751,-0.08286749
629,9.47938,8.23777
630,19.229685,16.353247
631,3.2317767,5.454564
632,5.7663283,6.498917
633,2.9217238,5.6045628
634,0.57045555,12.501182
635,-0.114926614,4.2394767
636,1.9247162,4.168581
637,20.365337,20.224157
638,20.25856,12.003113
639,5.5820985,19.668924
640,12.68184,12.960732
641,7.9353757,19.306398
642,11.003278,8.617865
643,5.4069095,7.3010077
644,14.329266,2.5536294
645,14.143796,10.934771
646,13.502478,10.035501
647,12.261248,7.855204
648,8.502629,17.483263
649,10.776337,12.850473
650,19.431906,4.039902
651,8.744354,7.37894
652,9.25066,8.52845
653,4.1067886,12.167677
654,9.171111,7.215013
655,17.721634,20.89834
656,9.623182,15.922607
657,-0.6377558,18.796001
658,10.8178,6.8645926
659,7.333148,7.5909934
660,2.8220217,11.389312
661,4.2346582,1.8551229
662,4.354011,-0.09637529
663,11.621291,7.340321
664,3.5200987,6.7083435
665,0.7546167,4.4841504
666,0.3763598,15.69583
667,7.294009,6.9654336
668,10.97757,4.249211
669,12.229614,7.861503
670,-1.3349682,-0.7742059
671,12.411969,10.695354
672,11.590024,11.7278185
673,8.859373,15.158314
674,12.278129,10.567213
675,11.156773,12.349912
676,15.162518,3.9714282
677,4.022652,8.842637
678,12.760863,10.844948
679,12.764115,10.029947
